"DATA_EXPLO","OCUPACIO","CODI_DISTRICTE","NOM_DISTRICTE","CODI_BARRI","NOM_BARRI","EMPLACAMENT","SUPERFICIE_OCUPADA","TAULES","CADIRES","ORDENACIO","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 748","6.75",3.00,12.00,"Ordenació General","31494076","83396583","41.3991905771841","2.18047701546266"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CONSELL DE CENT, 448","5.7",2.00,8.00,"Ordenació General","31208830","83543777","41.4004919533736","2.17704828534454"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. AUSIAS MARC, 138","6.75",3.00,12.00,"Ordenació General","31891422","83418362","41.3994204893039","2.18522747542708"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 102","4.5",2.00,8.00,"Ordenació General","31408808","83090542","41.3964268917429","2.17949174085172"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 198","18",8.00,32.00,"Distribució Prèvia","31544193","83739598","41.4022842746984","2.18103770945239"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 145-147","15.03",6.00,20.00,"Ordenació General","31370472","83482009","41.3999494419005","2.1789888268531"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. RIBES, 23","9",4.00,16.00,"Ordenació General","31677902","83089960","41.3964445576029","2.18271047417953"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 751","9",4.00,16.00,"Distribució Prèvia","31745392","83795401","41.4028039810969","2.18343820095481"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 173","3.45",2.00,6.00,"Ordenació General","31225215","83631114","41.4012799714228","2.17723435851339"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. PADILLA, 170","4.5",2.00,8.00,"Ordenació General","31769913","83875910","41.4035311821204","2.18372245375987"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 114","2.25",1.00,4.00,"Ordenació General","31335460","83166187","41.3971019430615","2.17860583864744"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 97","4.5",2.00,8.00,"Ordenació General","31591470","83063531","41.3961991715459","2.1816796354614"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. DIPUTACIO, 433","4.5",2.00,8.00,"Ordenació General","31457846","83631423","41.4013026199301","2.18001705780361"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. AUSIAS MARC, 113","3.6",3.00,6.00,"Ordenació General","31628328","83192230","41.3973614590406","2.18210596507613"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 128","4.5",2.00,8.00,"Ordenació General","31305076","83197373","41.3973802305605","2.17823887019125"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MARINA, 298","4.5",2.00,8.00,"Ordenació General","31026499","84274664","41.4070591905506","2.17478398437608"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 45","36",12.00,48.00,"Ordenació Singular","31074618","84520096","41.4092738413828","2.17533168119729"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. VALENCIA, 509","2.4",2.00,4.00,"Ordenació General","31582040","84312220","41.4074449209624","2.18142571479783"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 240-242","18",8.00,32.00,"Ordenació General","31496015","83977610","41.4044238696955","2.18043445850769"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PADILLA, 215","4.5",2.00,8.00,"Ordenació General","31510920","84111975","41.4056353222658","2.18059755665112"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","PG. SANT JOAN, 46","13.5",6.00,24.00,"Ordenació Singular","31328199","83003550","41.3956365020668","2.17853743252732"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 273","8.55",3.00,12.00,"Ordenació General","31231387","84216916","41.4065566274183","2.17724163394465"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. SICILIA, 117","5.7",3.00,10.00,"Ordenació General","31529887","83318429","41.3984897185154","2.1809142118567"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CORSEGA, 534","3.6",3.00,6.00,"Ordenació General","30932640","84402218","41.4081999672184","2.17364658678911"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PADILLA, 288","2.85",1.00,4.00,"Ordenació General","31129148","84537646","41.4094365824497","2.17598205157304"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SICILIA, 270","3.45",2.00,6.00,"Ordenació General","31110671","83778908","41.402601297726","2.1758473641598"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 434","4.5",2.00,8.00,"Ordenació General","31260608","84155537","41.4060063061623","2.17759817520645"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CARTAGENA, 221","4.5",2.00,8.00,"Ordenació General","31591677","84402366","41.4082576571569","2.1815308136237"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 434","1.2",1.00,2.00,"Distribució Prèvia","31260608","84155537","41.4060063061623","2.17759817520645"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SANT ANTONI MARIA CLARET, 234","3.45",2.00,6.00,"Ordenació General","31150510","84984280","41.4134610933343","2.17618679388265"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 277","8.55",3.00,12.00,"Ordenació General","31213234","84235463","41.4067221209784","2.17702236212783"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","PL. SAGRADA FAMILIA, 26","12.24",5.00,18.00,"Ordenació Singular","31006317","83907060","41.4037465720634","2.174584449975"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 52","36",12.00,48.00,"Ordenació Singular","31101238","84662899","41.4105623019187","2.1756338888909"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CASTILLEJOS, 269","4.5",2.00,8.00,"Ordenació General","31385568","84429251","41.4084822343552","2.17906202338385"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. INDUSTRIA, 171","4.5",2.00,8.00,"Ordenació General","31191087","84867548","41.4124132031433","2.17668554263853"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 39","12",4.00,16.00,"Ordenació Singular","31074702","84483450","41.4089437904434","2.17533686012692"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 452","5.7",3.00,10.00,"Ordenació General","31361348","84250802","41.4068729348851","2.1787925109926"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CASTILLEJOS, 332","3.45",2.00,6.00,"Ordenació General","31044846","84811824","41.411898782488","2.17494226012529"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 494","4.5",2.00,8.00,"Ordenació General","31543444","84431621","41.4085170411828","2.1809504786323"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PADILLA, 309","3.45",2.00,6.00,"Ordenació General","31027723","84609788","41.4100776440939","2.17476043138379"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PROVENÇA, 546","4.5",2.00,8.00,"Ordenació General","31538309","84608442","41.4101091730169","2.18086904211599"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 438","2.4",2.00,4.00,"Ordenació General","31313051","84206848","41.4064729302304","2.17821972085272"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SANT ANTONI MARIA CLARET, 130","6.75",3.00,12.00,"Ordenació General","30710080","84552633","41.4095355488506","2.17096682171705"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 254","1.2",1.00,2.00,"Ordenació General","31420244","84054600","41.405110833715","2.17951931793057"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SANT ANTONI MARIA CLARET, 220","8.55",3.00,12.00,"Ordenació General","31111470","84940267","41.4130613379079","2.17572472166956"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CORSEGA, 573","6.75",3.00,12.00,"Ordenació General","31007790","84505844","41.4091397451484","2.17453381182567"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 322","4.5",2.00,8.00,"Ordenació General","31049585","84434176","41.4084978420131","2.17504198960426"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. ROSSELLO, 495","4.65",3.00,8.00,"Ordenació General","31243360","84545627","41.4095182425865","2.17734751987624"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SARDENYA, 312","5.2",2.00,8.00,"Distribució Prèvia","31104264","83977196","41.4043866636832","2.17574815305137"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SICILIA, 207","4.5",2.00,8.00,"Ordenació General","31035250","83825545","41.403014875814","2.17493984673751"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 5","12",4.00,16.00,"Ordenació Singular","31074874","84265502","41.4069808207817","2.17536374072601"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 504","6",2.00,8.00,"Ordenació General","31599795","84486982","41.4090204569841","2.18161836750264"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 437","5.7",3.00,10.00,"Ordenació General","31340701","84264380","41.4069934642459","2.17854396983398"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. VALENCIA, 492","4.8",4.00,8.00,"Ordenació General","31489157","84191528","41.4063499761159","2.18032820474368"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CARTAGENA, 298","4.5",2.00,8.00,"Ordenació General","31226584","84807821","41.4118783005682","2.17711701933464"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 226","6.75",3.00,12.00,"Ordenació General","31520344","83952620","41.4042008654658","2.18072832365911"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. ROSSELLO, 378","4.5",2.00,8.00,"Ordenació General","30916072","84194304","41.4063259325804","2.173472113271"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","AV. GAUDI, 32","12",4.00,16.00,"Ordenació Singular","31101586","84454369","41.4086841725036","2.17566179528831"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. ROSSELLO, 419","2.4",2.00,4.00,"Ordenació General","30907341","84215964","41.4065202664981","2.17336519229766"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PADILLA, 250","6.75",3.00,12.00,"Ordenació General","31306130","84355510","41.4078112886452","2.17812005105937"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CARTAGENA, 251","2.25",1.00,4.00,"Ordenació General","31397669","84600672","41.4100271997184","2.17918735804203"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CORSEGA, 613","9",4.00,16.00,"Ordenació General","31178088","84681667","41.410737922967","2.17655116485234"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CORSEGA, 611","9",4.00,16.00,"Ordenació General","31152481","84645702","41.4104118053324","2.17624890158396"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. ROSSELLO, 475","2.4",2.00,4.00,"Ordenació General","31190652","84495373","41.4090611112012","2.17672266137771"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. SANT ANTONI MARIA CLARET, 216","9",4.00,16.00,"Ordenació General","31111470","84940267","41.4130613379079","2.17572472166956"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 356","6",2.00,8.00,"Ordenació General","30867322","84618255","41.410140123228","2.1728404897181"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PROVENÇA, 383","11.25",5.00,20.00,"Ordenació General","30809360","83932899","41.4039623684853","2.17222540947875"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. CONSELL DE CENT, 573","9",3.00,12.00,"Ordenació General","31839937","84194623","41.4064076709181","2.18452422041713"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. INDUSTRIA, 140","6.75",3.00,12.00,"Ordenació General","31029756","84679235","41.4107033039874","2.17477683768333"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. PROVENÇA, 542","2.25",1.00,4.00,"Ordenació General","31524870","84595868","41.4099947783177","2.18070968574296"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. MALLORCA, 451","3.6",3.00,6.00,"Ordenació General","31431971","84354001","41.4078084418654","2.17962568402428"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",6,"la Sagrada Família","C. LEPANT, 280","4.5",2.00,8.00,"Ordenació General","31251842","84226994","41.4066491462598","2.17748519174146"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. LEPANT, 220","3.6",3.00,6.00,"Ordenació General","31617638","83849885","41.4032838453455","2.18190381448649"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","G.V.. CORTS CATALANES, 765","2.4",2.00,4.00,"Distribució Prèvia","31900764","83886000","41.4036331541419","2.1852866157369"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CONSELL DE CENT, 487","2.25",1.00,4.00,"Ordenació General","31303730","83666916","41.4016091408864","2.17816949264548"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. CASP, 152","6.75",3.00,12.00,"Ordenació General","31549915","83273814","41.3980895901132","2.18115882073556"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 137","9",4.00,16.00,"Ordenació General","31846909","83352784","41.3988260762823","2.18470240689171"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ARAGO, 424","8.55",3.00,12.00,"Ordenació General","31156699","83673574","41.4016565311852","2.17640994138897"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. AUSIAS MARC, 73","5.4",2.00,8.00,"Ordenació General","31477222","83045268","41.3960249552575","2.18031517236895"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 148","4.5",2.00,8.00,"Ordenació General","31827630","83447719","41.399679492885","2.18446110995944"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ALI BEI, 71","18",8.00,32.00,"Ordenació General","31628143","83017639","41.3957889550437","2.18212346610732"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. ROGER DE FLOR, 94","6.75",3.00,12.00,"Ordenació General","31446814","83051420","41.3960777727868","2.17995076432759"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. NAPOLS, 103","6.75",3.00,12.00,"Ordenació General","31573440","83081958","41.3963636039462","2.18146189478838"
1/7/2019 00:00:00,"Terrasses en Via Pública",2,"Eixample",5,"el Fort Pienc","C. MARINA, 155","13.5",6.00,24.00,"Distribució Prèvia","31697140","83507984","41.4002112070551","2.18289342492272"
